,y,Value
284,y285,"tf.Tensor(0.048693832755649605, shape=(), dtype=float64)"
285,y286,"tf.Tensor(0.049119701698869596, shape=(), dtype=float64)"
286,y287,"tf.Tensor(0.04873062879561841, shape=(), dtype=float64)"
287,y288,"tf.Tensor(0.04924712458194014, shape=(), dtype=float64)"
288,y289,"tf.Tensor(0.04983593235508753, shape=(), dtype=float64)"
289,y290,"tf.Tensor(0.049086399529594135, shape=(), dtype=float64)"
290,y291,"tf.Tensor(0.051563401345191266, shape=(), dtype=float64)"
291,y292,"tf.Tensor(0.05018988717074563, shape=(), dtype=float64)"
292,y293,"tf.Tensor(0.05102537462740779, shape=(), dtype=float64)"
293,y294,"tf.Tensor(0.05173069415540332, shape=(), dtype=float64)"
294,y295,"tf.Tensor(0.04957738726794352, shape=(), dtype=float64)"
295,y296,"tf.Tensor(0.05267880282592813, shape=(), dtype=float64)"
296,y297,"tf.Tensor(0.05123280138997047, shape=(), dtype=float64)"
297,y298,"tf.Tensor(0.05334627782764758, shape=(), dtype=float64)"
298,y299,"tf.Tensor(0.05306438449698593, shape=(), dtype=float64)"
299,y300,"tf.Tensor(0.05303803036011781, shape=(), dtype=float64)"
300,y301,"tf.Tensor(0.052739712330078264, shape=(), dtype=float64)"
301,y302,"tf.Tensor(0.0541875107384195, shape=(), dtype=float64)"
302,y303,"tf.Tensor(0.05394748849696809, shape=(), dtype=float64)"
303,y304,"tf.Tensor(0.05474091576645893, shape=(), dtype=float64)"
304,y305,"tf.Tensor(0.05510057431510006, shape=(), dtype=float64)"
305,y306,"tf.Tensor(0.056110568441907316, shape=(), dtype=float64)"
306,y307,"tf.Tensor(0.056858101291116916, shape=(), dtype=float64)"
307,y308,"tf.Tensor(0.056684567787421675, shape=(), dtype=float64)"
308,y309,"tf.Tensor(0.05555074931832317, shape=(), dtype=float64)"
309,y310,"tf.Tensor(0.05700335304101818, shape=(), dtype=float64)"
310,y311,"tf.Tensor(0.058478637703659075, shape=(), dtype=float64)"
311,y312,"tf.Tensor(0.05918034276288422, shape=(), dtype=float64)"
312,y313,"tf.Tensor(0.06064074364930484, shape=(), dtype=float64)"
313,y314,"tf.Tensor(0.061207760310261636, shape=(), dtype=float64)"
314,y315,"tf.Tensor(0.0608829163197198, shape=(), dtype=float64)"
315,y316,"tf.Tensor(0.0627423531298221, shape=(), dtype=float64)"
316,y317,"tf.Tensor(0.06330790484705656, shape=(), dtype=float64)"
317,y318,"tf.Tensor(0.06461969059468956, shape=(), dtype=float64)"
318,y319,"tf.Tensor(0.06494729564991222, shape=(), dtype=float64)"
319,y320,"tf.Tensor(0.06249086985914083, shape=(), dtype=float64)"
320,y321,"tf.Tensor(0.06508942751460156, shape=(), dtype=float64)"
321,y322,"tf.Tensor(0.06519250723994673, shape=(), dtype=float64)"
322,y323,"tf.Tensor(0.06721926581828017, shape=(), dtype=float64)"
323,y324,"tf.Tensor(0.06667200405235843, shape=(), dtype=float64)"
324,y325,"tf.Tensor(0.0676384243300667, shape=(), dtype=float64)"
325,y326,"tf.Tensor(0.06718903464075462, shape=(), dtype=float64)"
326,y327,"tf.Tensor(0.06836656567885681, shape=(), dtype=float64)"
327,y328,"tf.Tensor(0.06955088441614646, shape=(), dtype=float64)"
